City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Sekoma,BW,66.99,moderate rain,-24.4,23.8833,
530,Moron,AR,80.98,clear sky,-34.6534,-58.6198,
531,Antsohihy,MG,74.82,scattered clouds,-14.8796,47.9875,
538,Tres De Maio,BR,76.71,scattered clouds,-27.7733,-54.24,
539,Salta,AR,71.89,scattered clouds,-24.7859,-65.4117,
542,Kampong Cham,KH,77.79,few clouds,11.9934,105.4635,
543,Maragogi,BR,78.39,scattered clouds,-9.0122,-35.2225,
544,Sao Gabriel,BR,72.9,clear sky,-30.3364,-54.32,
545,Puerto Leguizamo,CO,81.19,overcast clouds,-0.1934,-74.7819,
549,Dolores,AR,68.77,light rain,-36.3132,-57.6792,
554,Jaru,BR,71.55,overcast clouds,-10.4389,-62.4664,
555,Hualmay,PE,70.7,overcast clouds,-11.0964,-77.6139,
556,Launceston,AU,80.62,few clouds,-41.45,147.1667,
560,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,
561,Mundo Nuevo,MX,68.47,clear sky,18.7,-95.5,
566,Tocopilla,CL,66.81,few clouds,-22.092,-70.1979,
567,Ipora,BR,68.79,overcast clouds,-16.4419,-51.1178,
568,Fernandopolis,BR,70.92,moderate rain,-20.2839,-50.2464,
571,Aguai,BR,67.87,light rain,-22.0594,-46.9786,
572,Port Hueneme,US,67.15,clear sky,34.1478,-119.1951,
575,Byron Bay,AU,86.11,scattered clouds,-28.65,153.6167,
577,Araguaina,BR,71.69,scattered clouds,-7.1911,-48.2072,
578,Chanika,TZ,69.24,light rain,-5.4167,38.0167,
579,Coolum Beach,AU,85.33,broken clouds,-26.5333,153.1,
580,Pisco,PE,71.65,broken clouds,-13.7,-76.2167,
583,Benguela,AO,75.49,overcast clouds,-12.5763,13.4055,
588,Koungou,YT,76.71,clear sky,-12.7336,45.2042,
589,Payo,ID,75.54,overcast clouds,-3.7508,103.6372,
590,Bisho,ZA,65.55,overcast clouds,-32.8472,27.4422,
591,Vallenar,CL,67.91,clear sky,-28.5708,-70.7581,
596,San Fernando,PH,84.22,overcast clouds,15.0286,120.6898,
598,Touros,BR,79.7,clear sky,-5.1989,-35.4608,
600,Kahului,US,84.22,few clouds,20.8947,-156.47,
601,Kuala Kedah,MY,80.58,few clouds,6.1,100.3,
607,Pimenta Bueno,BR,71.06,overcast clouds,-11.6725,-61.1936,
611,Manggar,ID,82.13,overcast clouds,-2.8833,108.2667,
613,San Luis,AR,77.16,scattered clouds,-33.295,-66.3356,
618,Emerald,AU,87.35,scattered clouds,-23.5333,148.1667,
620,Sabang,ID,80.89,overcast clouds,5.8933,95.3214,
627,Karangampel,ID,79.2,overcast clouds,-6.4622,108.4519,
