City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Srednekolymsk,RU,67.45,153.6833,-29.25,100,100,0.81,overcast clouds
172,Teya,RU,60.3778,92.6267,-2.74,99,100,2.55,overcast clouds
173,College,US,64.8569,-147.8028,-15.02,73,0,0.0,clear sky
174,Vostok,RU,46.4856,135.8833,-3.12,86,11,2.82,few clouds
175,Moche,PE,-8.1711,-79.0092,66.38,82,75,10.36,broken clouds
176,Takoradi,GH,4.8845,-1.7554,78.04,82,14,3.89,few clouds
177,Yagoua,CM,10.3411,15.2329,65.14,20,4,7.92,clear sky
178,Pasighat,IN,28.0667,95.3333,51.24,61,5,2.64,clear sky
179,Constitucion,CL,-35.3333,-72.4167,57.85,81,0,15.82,clear sky
180,Vanavara,RU,60.34,102.2797,-16.65,100,100,2.06,overcast clouds
181,Iwanai,JP,42.9744,140.5089,20.79,72,100,9.53,light snow
182,Salalah,OM,17.0151,54.0924,68.09,60,0,3.44,clear sky
183,Batemans Bay,AU,-35.7167,150.1833,85.19,66,93,7.76,overcast clouds
184,Praia,CV,14.9215,-23.5087,70.34,68,75,19.57,broken clouds
185,Chernyshevskiy,RU,63.0128,112.4714,-17.73,100,95,2.01,overcast clouds
186,Pocone,BR,-16.2567,-56.6228,72.73,95,100,6.02,overcast clouds
187,Matay,EG,28.419,30.7792,49.42,55,52,8.48,broken clouds
188,Chokurdakh,RU,70.6333,147.9167,-29.49,97,18,2.26,few clouds
189,Kautokeino,NO,69.0125,23.0412,-10.48,99,24,2.55,few clouds
190,Castro,BR,-24.7911,-50.0119,62.31,99,100,8.37,overcast clouds
191,Anapolis,BR,-16.3267,-48.9528,70.27,88,40,4.61,scattered clouds
192,Chipiona,ES,36.7366,-6.437,51.31,56,97,3.04,overcast clouds
193,Sahibganj,IN,25.25,87.65,53.58,68,0,1.57,clear sky
194,Turka,UA,49.1541,23.0297,30.79,92,100,18.05,light snow
195,Faanui,PF,-16.4833,-151.75,81.0,68,0,10.51,clear sky
196,Nouadhibou,MR,20.931,-17.0347,64.38,63,100,17.27,overcast clouds
197,Abu Samrah,SY,35.3029,37.1841,41.95,77,100,1.79,overcast clouds
198,Severo-Kurilsk,RU,50.6789,156.125,28.38,95,100,6.46,snow
199,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,19.57,clear sky
200,Akcaabat,TR,41.0212,39.5715,55.27,30,75,13.8,broken clouds
201,Sterling,US,39.0062,-77.4286,30.49,61,100,0.0,overcast clouds
202,Tak Bai,TH,6.2595,102.0546,79.29,82,77,5.95,broken clouds
203,Tuatapere,NZ,-46.1333,167.6833,72.82,64,80,5.73,broken clouds
204,Mafinga,TZ,-7.25,35.0667,66.18,95,100,3.0,light rain
205,General Roca,AR,-39.0333,-67.5833,72.0,14,5,18.14,clear sky
206,Rio Gallegos,AR,-51.6226,-69.2181,51.85,43,75,26.46,broken clouds
207,Bonavista,CA,48.6499,-53.1147,37.11,75,61,33.4,broken clouds
208,Kaitangata,NZ,-46.2817,169.8464,68.94,71,58,6.78,broken clouds
209,Capreol,CA,46.706,-80.9225,14.47,73,100,6.91,overcast clouds
210,Mount Gambier,AU,-37.8333,140.7667,71.51,78,40,5.75,scattered clouds
211,Jumla,NP,29.2747,82.1838,34.2,45,0,3.87,clear sky
212,Nouakchott,MR,18.0858,-15.9785,71.53,62,100,14.7,overcast clouds
213,Arraial Do Cabo,BR,-22.9661,-42.0278,75.52,92,100,7.31,moderate rain
214,Martan-Chu,RU,43.0637,45.5622,31.89,74,1,4.38,clear sky
215,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,5.75,clear sky
216,Klaksvik,FO,62.2266,-6.589,34.72,53,98,39.53,overcast clouds
217,Carhuamayo,PE,-10.9167,-76.0333,37.11,84,100,5.44,overcast clouds
218,Hvide Sande,DK,56.0045,8.1294,39.0,80,100,12.84,overcast clouds
219,Lufilufi,WS,-13.8745,-171.5986,91.18,75,98,8.75,light rain
220,Ambilobe,MG,-13.2,49.05,73.42,95,94,1.05,overcast clouds
221,Wamba,NG,8.9333,8.6,66.85,17,93,4.03,overcast clouds
222,Doha,QA,25.2867,51.5333,62.58,69,0,6.91,clear sky
223,Andros Town,BS,24.7,-77.7667,64.36,59,93,11.68,overcast clouds
224,Yulara,AU,-25.2406,130.9889,73.35,89,100,17.56,overcast clouds
225,Weligama,LK,5.9667,80.4167,74.64,93,27,3.06,scattered clouds
226,Nabire,ID,-3.3667,135.4833,81.14,69,100,1.25,overcast clouds
227,Victoria,HK,22.2855,114.1577,59.32,78,100,3.0,overcast clouds
228,Noumea,NC,-22.2763,166.4572,84.18,80,100,8.14,overcast clouds
229,Letlhakane,BW,-21.4167,25.5833,70.48,79,100,13.98,overcast clouds
230,Aloleng,PH,16.1307,119.7824,79.84,68,13,11.12,few clouds
231,Mackay,AU,-21.15,149.2,89.69,75,36,11.36,scattered clouds
232,Ploemeur,FR,47.7333,-3.4333,48.81,98,75,6.91,broken clouds
233,Pandan,PH,14.0453,124.1694,78.49,84,98,15.97,moderate rain
234,Nanortalik,GL,60.1432,-45.2371,19.22,76,100,21.05,overcast clouds
235,Torbay,CA,47.6666,-52.7314,36.57,81,100,8.01,overcast clouds
236,Aswan,EG,24.0934,32.907,53.62,44,100,9.82,overcast clouds
237,Saint George,US,37.1041,-113.5841,57.79,18,0,0.0,clear sky
238,Ca Mau,VN,9.1769,105.15,80.1,71,2,8.77,clear sky
239,Port Hawkesbury,CA,45.6169,-61.3485,23.88,77,100,5.01,overcast clouds
240,Novaya Igirma,RU,57.1334,103.9112,-10.93,100,93,1.32,overcast clouds
241,Demyansk,RU,57.643,32.466,23.52,95,100,6.04,snow
242,Kayseri,TR,38.737,35.4968,28.42,86,75,0.0,mist
243,Broken Hill,AU,-31.95,141.4333,82.31,55,100,5.97,overcast clouds
244,Dingle,PH,10.9995,122.6711,81.32,77,6,6.82,clear sky
245,Phan Thiet,VN,10.9333,108.1,78.39,71,52,11.92,broken clouds
246,Thompson,CA,55.7435,-97.8558,-5.31,100,95,4.88,overcast clouds
247,Nerekhta,RU,57.4588,40.5747,24.69,94,100,12.17,overcast clouds
248,Vila Velha,BR,-20.3297,-40.2925,80.55,86,20,3.0,few clouds
249,Bubaque,GW,11.2833,-15.8333,77.94,73,89,11.41,overcast clouds
250,Fukue,JP,32.6881,128.8419,45.28,53,1,20.04,clear sky
251,Sona,IT,45.4388,10.8255,36.95,63,7,2.75,clear sky
252,Tual,ID,-5.6667,132.75,83.88,77,100,18.63,light rain
253,Teguldet,RU,57.3064,88.1667,-6.97,98,30,3.33,scattered clouds
254,Sinnamary,GF,5.3833,-52.95,76.59,86,60,12.1,broken clouds
255,Okhotsk,RU,59.3833,143.3,12.79,75,73,15.41,broken clouds
256,Ust-Koksa,RU,50.2696,85.6108,1.45,87,100,0.89,overcast clouds
257,Huarmey,PE,-10.0681,-78.1522,70.75,86,100,7.85,overcast clouds
258,Sitka,US,57.0531,-135.33,39.09,70,20,0.0,few clouds
259,Desaguadero,PE,-16.5656,-69.0417,48.97,78,97,4.34,light rain
260,Olafsvik,IS,64.8945,-23.7142,25.79,54,100,21.09,overcast clouds
261,Cervo,ES,43.6702,-7.4101,49.96,81,100,10.65,overcast clouds
262,Kanniyakumari,IN,8.0833,77.5667,77.16,83,15,13.96,few clouds
263,San Isidro,PE,-12.1167,-77.05,72.01,80,40,1.01,scattered clouds
264,Vardo,NO,70.3705,31.1107,30.38,63,92,14.27,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,75.72,89,100,4.12,moderate rain
266,Barra Patuca,HN,15.8,-84.2833,73.49,69,100,14.27,overcast clouds
267,Khandyga,RU,62.6667,135.6,-33.18,98,89,0.43,overcast clouds
268,Youkounkoun,GN,12.5333,-13.1333,79.72,15,5,3.15,clear sky
269,Buraydah,SA,26.326,43.975,54.05,46,100,10.47,overcast clouds
270,Foz,ES,43.5692,-7.2544,50.41,88,100,5.55,overcast clouds
271,Meadow Lake,US,34.8014,-106.5436,42.67,77,100,1.3,overcast clouds
272,Kushima,JP,31.4583,131.2333,50.04,53,1,8.34,clear sky
273,Manzhouli,CN,49.6,117.4333,-10.82,94,15,5.5,few clouds
274,Lata,PT,40.1629,-8.3327,39.92,56,84,3.18,broken clouds
275,Coihaique,CL,-45.5752,-72.0662,50.61,66,75,4.61,broken clouds
